vinho_id,nome_base,produtor,safra,corpo_peso,tanino_peso,acidez_peso,docura_peso,alcool_peso,nota_delicado,nota_classico,nota_robusto,nota_audaz,caminho_foto,uvas,regiao,teor_alcoolico
VINI-000001,Casa Valduga Chardonnay 2015,Casa Valduga,2015,0.56,0.15,0.68,0.15,0.82,2.92,4.03,1.78,3.19,labels/VINI-000001.jpg,['Chardonnay'],Vale dos Vinhedos - Brasil,N/D
VINI-000002,Louis Latour Chardonnay 2023,Louis Latour,2023,0.57,0.13,0.7,0.08,0.79,2.96,4.0,1.75,3.05,labels/VINI-000002.jpg,['Chardonnay'],Bourgogne - França,N/D
VINI-000003,Prunotto Nebbiolo 2012,Prunotto,2012,0.7,0.92,0.83,0.13,0.86,3.09,3.7,4.05,3.37,labels/VINI-000003.jpg,['Nebbiolo'],Piemonte - Itália,N/D
VINI-000004,Louis Latour Chardonnay 2022,Louis Latour,2022,0.49,0.12,0.7,0.07,0.84,3.12,3.77,1.52,3.5,labels/VINI-000004.jpg,['Chardonnay'],Bourgogne - França,N/D
VINI-000005,Graham's Touriga Nacional 2024,Graham's,2024,0.96,0.56,0.45,0.81,1.0,1.43,3.95,3.8,4.19,labels/VINI-000005.jpg,['Touriga Nacional'],Douro - Portugal,N/D
VINI-000006,Cloudy Bay Sauvignon Blanc 2021,Cloudy Bay,2021,0.22,0.09,0.81,0.08,0.64,3.99,3.02,1.0,2.88,labels/VINI-000006.jpg,['Sauvignon Blanc'],Marlborough - Nova Zelândia,N/D
VINI-000007,Marqués de Riscal Tempranillo 2015,Marqués de Riscal,2015,0.67,0.69,0.57,0.12,0.7,2.37,4.35,3.4,2.73,labels/VINI-000007.jpg,['Tempranillo'],Rioja - Espanha,N/D
VINI-000008,Marqués de Riscal Tempranillo 2019,Marqués de Riscal,2019,0.66,0.57,0.73,0.02,0.73,2.87,4.68,3.08,2.88,labels/VINI-000008.jpg,['Tempranillo'],Rioja - Espanha,N/D
VINI-000009,Prunotto Nebbiolo 2022,Prunotto,2022,0.61,0.96,0.91,0.08,0.71,3.51,3.83,3.92,2.88,labels/VINI-000009.jpg,['Nebbiolo'],Piemonte - Itália,N/D
VINI-000010,Concha y Toro Cabernet Sauvignon 2013,Concha y Toro,2013,0.8,0.8,0.46,0.13,0.78,1.78,3.75,4.0,2.75,labels/VINI-000010.jpg,['Cabernet Sauvignon'],Vale Central - Chile,N/D
VINI-000011,Viña Leyda Sauvignon Blanc 2010,Viña Leyda,2010,0.26,0.18,0.88,0.2,0.6,4.12,3.35,1.1,2.88,labels/VINI-000011.jpg,['Sauvignon Blanc'],Vale de Leyda - Chile,N/D
VINI-000012,Cloudy Bay Sauvignon Blanc 2019,Cloudy Bay,2019,0.33,0.07,0.82,0.0,0.68,3.8,3.25,1.0,2.83,labels/VINI-000012.jpg,['Sauvignon Blanc'],Marlborough - Nova Zelândia,N/D
VINI-000013,"Esporão Aragonez, Trincadeira 2015",Esporão,2015,0.72,0.57,0.64,0.11,0.66,2.48,4.53,3.23,2.75,labels/VINI-000013.jpg,"['Aragonez', 'Trincadeira']",Alentejo - Portugal,N/D
VINI-000014,M. Chapoutier Syrah 2016,M. Chapoutier,2016,0.91,0.92,0.47,0.11,0.84,1.59,3.17,4.58,2.85,labels/VINI-000014.jpg,['Syrah'],Rhône - França,N/D
VINI-000015,Viña Leyda Sauvignon Blanc 2021,Viña Leyda,2021,0.23,0.06,0.87,0.0,0.61,4.15,2.97,1.0,2.62,labels/VINI-000015.jpg,['Sauvignon Blanc'],Vale de Leyda - Chile,N/D
VINI-000016,Antinori Sangiovese 2013,Antinori,2013,0.68,0.57,0.57,0.14,0.76,2.35,4.62,3.12,2.88,labels/VINI-000016.jpg,['Sangiovese'],Toscana - Itália,N/D
